id,request_id,candidate_id,hire_date,end_date
"HIRE-1","REQ-0001","SYN-00001","2026-02-19",""
"HIRE-2","REQ-0001","SYN-00002","2026-02-24",""
"HIRE-3","REQ-0001","SYN-00003","2026-02-11",""
"HIRE-4","REQ-0001","SYN-00004","2026-03-10",""
"HIRE-5","REQ-0001","SYN-00005","2026-03-02",""
"HIRE-6","REQ-0001","SYN-00006","2026-02-26",""
"HIRE-7","REQ-0003","SYN-00007","2026-02-20","2026-05-01"
"HIRE-8","REQ-0003","SYN-00008","2026-01-28",""
"HIRE-9","REQ-0003","SYN-00009","2026-02-02",""
"HIRE-10","REQ-0003","SYN-00010","2026-01-30",""
"HIRE-11","REQ-0004","SYN-00011","2026-02-07","2026-06-18"
"HIRE-12","REQ-0004","SYN-00012","2026-02-23",""
"HIRE-13","REQ-0004","SYN-00013","2026-03-05",""
"HIRE-14","REQ-0004","SYN-00014","2026-02-14",""
"HIRE-15","REQ-0004","SYN-00015","2026-02-21",""
"HIRE-16","REQ-0005","SYN-00016","2026-07-24",""
"HIRE-17","REQ-0005","SYN-00017","2026-07-28",""
"HIRE-18","REQ-0005","SYN-00018","2026-08-01",""
"HIRE-19","REQ-0005","SYN-00019","2026-08-31",""
"HIRE-20","REQ-0005","SYN-00020","2026-08-18",""
"HIRE-21","REQ-0005","SYN-00021","2026-08-27",""
"HIRE-22","REQ-0006","SYN-00022","2026-05-04",""
"HIRE-23","REQ-0006","SYN-00023","2026-05-08",""
"HIRE-24","REQ-0006","SYN-00024","2026-05-18",""
"HIRE-25","REQ-0006","SYN-00025","2026-05-04",""
"HIRE-26","REQ-0007","SYN-00026","2026-07-09",""
"HIRE-27","REQ-0007","SYN-00027","2026-06-27",""
"HIRE-28","REQ-0008","SYN-00028","2026-02-27",""
"HIRE-29","REQ-0008","SYN-00029","2026-03-19",""
"HIRE-30","REQ-0008","SYN-00030","2026-03-18",""
"HIRE-31","REQ-0008","SYN-00031","2026-02-13","2026-04-20"
"HIRE-32","REQ-0008","SYN-00032","2026-02-03",""
"HIRE-33","REQ-0008","SYN-00033","2026-03-02","2026-04-08"
"HIRE-34","REQ-0009","SYN-00034","2026-06-18",""
"HIRE-35","REQ-0009","SYN-00035","2026-05-28",""
"HIRE-36","REQ-0009","SYN-00036","2026-06-16",""
"HIRE-37","REQ-0010","SYN-00037","2026-06-07",""
"HIRE-38","REQ-0010","SYN-00038","2026-05-29",""
"HIRE-39","REQ-0010","SYN-00039","2026-06-05",""
"HIRE-40","REQ-0012","SYN-00040","2026-06-23",""
"HIRE-41","REQ-0012","SYN-00041","2026-07-12",""
"HIRE-42","REQ-0013","SYN-00042","2026-04-10",""
"HIRE-43","REQ-0013","SYN-00043","2026-04-17",""
"HIRE-44","REQ-0014","SYN-00044","2026-05-27",""
"HIRE-45","REQ-0015","SYN-00045","2026-06-20",""
"HIRE-46","REQ-0015","SYN-00046","2026-06-15","2026-08-28"
"HIRE-47","REQ-0015","SYN-00047","2026-07-16",""
"HIRE-48","REQ-0015","SYN-00048","2026-06-03","2026-08-17"
"HIRE-49","REQ-0015","SYN-00049","2026-06-10",""
"HIRE-50","REQ-0016","SYN-00050","2026-04-07",""
"HIRE-51","REQ-0016","SYN-00051","2026-05-12","2026-07-29"
"HIRE-52","REQ-0016","SYN-00052","2026-04-22",""
"HIRE-53","REQ-0016","SYN-00053","2026-04-11",""
"HIRE-54","REQ-0016","SYN-00054","2026-05-07",""
"HIRE-55","REQ-0017","SYN-00055","2026-02-27",""
"HIRE-56","REQ-0017","SYN-00056","2026-03-05",""
"HIRE-57","REQ-0017","SYN-00057","2026-02-22",""
"HIRE-58","REQ-0017","SYN-00058","2026-03-01","2026-04-18"
"HIRE-59","REQ-0017","SYN-00059","2026-02-19",""
"HIRE-60","REQ-0019","SYN-00060","2026-01-28",""
"HIRE-61","REQ-0019","SYN-00061","2026-01-27",""
"HIRE-62","REQ-0019","SYN-00062","2026-02-02","2026-06-07"
"HIRE-63","REQ-0022","SYN-00063","2026-06-24",""
"HIRE-64","REQ-0022","SYN-00064","2026-06-09",""
"HIRE-65","REQ-0022","SYN-00065","2026-05-28",""
"HIRE-66","REQ-0023","SYN-00066","2026-02-10",""
"HIRE-67","REQ-0023","SYN-00067","2026-01-22",""
"HIRE-68","REQ-0023","SYN-00068","2026-01-31","2026-05-10"
"HIRE-69","REQ-0023","SYN-00069","2026-01-22",""
"HIRE-70","REQ-0023","SYN-00070","2026-01-24",""
"HIRE-71","REQ-0024","SYN-00071","2026-03-13",""
"HIRE-72","REQ-0025","SYN-00072","2026-03-01","2026-04-22"
"HIRE-73","REQ-0025","SYN-00073","2026-03-03",""
"HIRE-74","REQ-0025","SYN-00074","2026-02-25",""
"HIRE-75","REQ-0025","SYN-00075","2026-02-27",""
"HIRE-76","REQ-0025","SYN-00076","2026-03-12",""
"HIRE-77","REQ-0026","SYN-00077","2026-03-17",""
"HIRE-78","REQ-0026","SYN-00078","2026-03-25",""
"HIRE-79","REQ-0026","SYN-00079","2026-03-20","2026-04-11"
"HIRE-80","REQ-0026","SYN-00080","2026-03-03","2026-05-23"
"HIRE-81","REQ-0027","SYN-00081","2026-07-16",""
"HIRE-82","REQ-0027","SYN-00082","2026-06-20",""
"HIRE-83","REQ-0028","SYN-00083","2026-02-14",""
"HIRE-84","REQ-0029","SYN-00084","2026-03-11","2026-07-15"
"HIRE-85","REQ-0029","SYN-00085","2026-03-14",""
"HIRE-86","REQ-0029","SYN-00086","2026-03-12","2026-08-08"
"HIRE-87","REQ-0030","SYN-00087","2026-03-03",""
"HIRE-88","REQ-0030","SYN-00088","2026-03-03",""
"HIRE-89","REQ-0030","SYN-00089","2026-03-10","2026-04-09"
"HIRE-90","REQ-0030","SYN-00090","2026-03-14",""
"HIRE-91","REQ-0030","SYN-00091","2026-03-20",""
"HIRE-92","REQ-0032","SYN-00092","2026-04-12","2026-08-14"
"HIRE-93","REQ-0032","SYN-00093","2026-04-15",""
"HIRE-94","REQ-0033","SYN-00094","2026-08-13",""
"HIRE-95","REQ-0035","SYN-00095","2026-07-14",""
"HIRE-96","REQ-0035","SYN-00096","2026-07-07","2026-08-06"
"HIRE-97","REQ-0035","SYN-00097","2026-07-07","2026-09-05"
"HIRE-98","REQ-0036","SYN-00098","2026-02-04",""
"HIRE-99","REQ-0036","SYN-00099","2026-02-08",""
"HIRE-100","REQ-0036","SYN-00100","2026-01-27",""
"HIRE-101","REQ-0036","SYN-00101","2026-02-02",""
"HIRE-102","REQ-0036","SYN-00102","2026-01-24",""
"HIRE-103","REQ-0036","SYN-00103","2026-02-05",""
"HIRE-104","REQ-0037","SYN-00104","2026-09-13",""
"HIRE-105","REQ-0038","SYN-00105","2026-06-18",""
"HIRE-106","REQ-0038","SYN-00106","2026-06-03",""
"HIRE-107","REQ-0039","SYN-00107","2026-09-05",""
"HIRE-108","REQ-0039","SYN-00108","2026-09-03",""
"HIRE-109","REQ-0040","SYN-00109","2026-07-16",""
"HIRE-110","REQ-0041","SYN-00110","2026-06-04",""
"HIRE-111","REQ-0041","SYN-00111","2026-05-20",""
"HIRE-112","REQ-0041","SYN-00112","2026-05-03",""
"HIRE-113","REQ-0042","SYN-00113","2026-05-05",""
"HIRE-114","REQ-0042","SYN-00114","2026-05-10",""
"HIRE-115","REQ-0044","SYN-00115","2026-08-12",""
"HIRE-116","REQ-0044","SYN-00116","2026-08-04",""
"HIRE-117","REQ-0045","SYN-00117","2026-08-28",""
"HIRE-118","REQ-0045","SYN-00118","2026-09-01",""
"HIRE-119","REQ-0045","SYN-00119","2026-08-20",""
"HIRE-120","REQ-0046","SYN-00120","2026-06-05",""
"HIRE-121","REQ-0046","SYN-00121","2026-05-24",""
"HIRE-122","REQ-0046","SYN-00122","2026-05-13",""
"HIRE-123","REQ-0047","SYN-00123","2026-04-02",""
"HIRE-124","REQ-0047","SYN-00124","2026-03-17",""
"HIRE-125","REQ-0047","SYN-00125","2026-03-27",""
"HIRE-126","REQ-0047","SYN-00126","2026-03-31",""
"HIRE-127","REQ-0047","SYN-00127","2026-04-06",""
"HIRE-128","REQ-0048","SYN-00128","2026-07-25",""
"HIRE-129","REQ-0048","SYN-00129","2026-07-09",""
"HIRE-130","REQ-0048","SYN-00130","2026-07-07",""
"HIRE-131","REQ-0048","SYN-00131","2026-07-03",""
"HIRE-132","REQ-0049","SYN-00132","2026-06-06","2026-07-27"
"HIRE-133","REQ-0050","SYN-00133","2026-01-23",""
"HIRE-134","REQ-0050","SYN-00134","2026-01-27",""
"HIRE-135","REQ-0050","SYN-00135","2026-02-12",""
"HIRE-136","REQ-0050","SYN-00136","2026-02-18",""
"HIRE-137","REQ-0051","SYN-00137","2026-03-06",""
"HIRE-138","REQ-0051","SYN-00138","2026-02-09",""
"HIRE-139","REQ-0051","SYN-00139","2026-03-12",""
"HIRE-140","REQ-0051","SYN-00140","2026-03-08","2026-06-10"
"HIRE-141","REQ-0051","SYN-00141","2026-02-21",""
"HIRE-142","REQ-0052","SYN-00142","2026-02-11",""
"HIRE-143","REQ-0052","SYN-00143","2026-03-03",""
"HIRE-144","REQ-0053","SYN-00144","2026-05-11",""
"HIRE-145","REQ-0054","SYN-00145","2026-08-23",""
"HIRE-146","REQ-0055","SYN-00146","2026-03-12",""
"HIRE-147","REQ-0055","SYN-00147","2026-03-07",""
"HIRE-148","REQ-0055","SYN-00148","2026-03-13",""
"HIRE-149","REQ-0055","SYN-00149","2026-03-29",""
"HIRE-150","REQ-0055","SYN-00150","2026-03-16",""
"HIRE-151","REQ-0055","SYN-00151","2026-03-20",""
"HIRE-152","REQ-0056","SYN-00152","2026-08-27",""
"HIRE-153","REQ-0056","SYN-00153","2026-09-15",""
"HIRE-154","REQ-0057","SYN-00154","2026-02-12","2026-06-19"
"HIRE-155","REQ-0057","SYN-00155","2026-02-18",""
"HIRE-156","REQ-0057","SYN-00156","2026-03-01",""
"HIRE-157","REQ-0058","SYN-00157","2026-07-31",""
"HIRE-158","REQ-0061","SYN-00158","2026-02-15",""
"HIRE-159","REQ-0061","SYN-00159","2026-02-22","2026-07-22"
"HIRE-160","REQ-0061","SYN-00160","2026-02-06",""
"HIRE-161","REQ-0061","SYN-00161","2026-02-22","2026-07-12"
"HIRE-162","REQ-0061","SYN-00162","2026-02-16",""
"HIRE-163","REQ-0061","SYN-00163","2026-02-11",""
"HIRE-164","REQ-0062","SYN-00164","2026-09-14",""
"HIRE-165","REQ-0062","SYN-00165","2026-09-13",""
