id,request_id,cost_date,category,amount_cents
"COST-1","REQ-0001","2026-02-02","Sourcing","52600"
"COST-2","REQ-0001","2026-02-19","Placement","301400"
"COST-3","REQ-0001","2026-02-24","Placement","296900"
"COST-4","REQ-0001","2026-02-11","Placement","345400"
"COST-5","REQ-0001","2026-03-10","Placement","202700"
"COST-6","REQ-0001","2026-03-02","Placement","139200"
"COST-7","REQ-0001","2026-02-26","Placement","152100"
"COST-8","REQ-0002","2026-04-23","Sourcing","51500"
"COST-9","REQ-0003","2026-01-17","Sourcing","30200"
"COST-10","REQ-0003","2026-02-20","Placement","115100"
"COST-11","REQ-0003","2026-01-28","Placement","209800"
"COST-12","REQ-0003","2026-02-02","Placement","140400"
"COST-13","REQ-0003","2026-01-30","Placement","178100"
"COST-14","REQ-0004","2026-01-29","Sourcing","87300"
"COST-15","REQ-0004","2026-02-07","Placement","127800"
"COST-16","REQ-0004","2026-02-23","Placement","125600"
"COST-17","REQ-0004","2026-03-05","Placement","136800"
"COST-18","REQ-0004","2026-02-14","Placement","122800"
"COST-19","REQ-0004","2026-02-21","Placement","121700"
"COST-20","REQ-0005","2026-07-19","Sourcing","93900"
"COST-21","REQ-0005","2026-07-24","Placement","109000"
"COST-22","REQ-0005","2026-07-28","Placement","315700"
"COST-23","REQ-0005","2026-08-01","Placement","373300"
"COST-24","REQ-0005","2026-08-31","Placement","97100"
"COST-25","REQ-0005","2026-08-18","Placement","137200"
"COST-26","REQ-0005","2026-08-27","Placement","368900"
"COST-27","REQ-0006","2026-04-19","Sourcing","31300"
"COST-28","REQ-0006","2026-05-04","Placement","179800"
"COST-29","REQ-0006","2026-05-08","Placement","326500"
"COST-30","REQ-0006","2026-05-18","Placement","290200"
"COST-31","REQ-0006","2026-05-04","Placement","387500"
"COST-32","REQ-0007","2026-06-13","Sourcing","63800"
"COST-33","REQ-0007","2026-07-09","Placement","190200"
"COST-34","REQ-0007","2026-06-27","Placement","205300"
"COST-35","REQ-0008","2026-01-25","Sourcing","54200"
"COST-36","REQ-0008","2026-02-27","Placement","146300"
"COST-37","REQ-0008","2026-03-19","Placement","102800"
"COST-38","REQ-0008","2026-03-18","Placement","102900"
"COST-39","REQ-0008","2026-02-13","Placement","360700"
"COST-40","REQ-0008","2026-02-03","Placement","255800"
"COST-41","REQ-0008","2026-03-02","Placement","300700"
"COST-42","REQ-0009","2026-05-20","Sourcing","93700"
"COST-43","REQ-0009","2026-06-18","Placement","112500"
"COST-44","REQ-0009","2026-05-28","Placement","90300"
"COST-45","REQ-0009","2026-06-16","Placement","91900"
"COST-46","REQ-0010","2026-05-24","Sourcing","77700"
"COST-47","REQ-0010","2026-06-07","Placement","307000"
"COST-48","REQ-0010","2026-05-29","Placement","349100"
"COST-49","REQ-0010","2026-06-05","Placement","100400"
"COST-50","REQ-0011","2026-09-01","Sourcing","56500"
"COST-51","REQ-0012","2026-06-04","Sourcing","45700"
"COST-52","REQ-0012","2026-06-23","Placement","379900"
"COST-53","REQ-0012","2026-07-12","Placement","349100"
"COST-54","REQ-0013","2026-04-03","Sourcing","62700"
"COST-55","REQ-0013","2026-04-10","Placement","250600"
"COST-56","REQ-0013","2026-04-17","Placement","235600"
"COST-57","REQ-0014","2026-05-14","Sourcing","43900"
"COST-58","REQ-0014","2026-05-27","Placement","212600"
"COST-59","REQ-0015","2026-05-28","Sourcing","85500"
"COST-60","REQ-0015","2026-06-20","Placement","114500"
"COST-61","REQ-0015","2026-06-15","Placement","251200"
"COST-62","REQ-0015","2026-07-16","Placement","211900"
"COST-63","REQ-0015","2026-06-03","Placement","186300"
"COST-64","REQ-0015","2026-06-10","Placement","343700"
"COST-65","REQ-0016","2026-03-18","Sourcing","63900"
"COST-66","REQ-0016","2026-04-07","Placement","66900"
"COST-67","REQ-0016","2026-05-12","Placement","139300"
"COST-68","REQ-0016","2026-04-22","Placement","86700"
